alpha_acq_sh_in,alpha_ext_sh_in,alpha_acq_nosh_in,alpha_ext_nosh_in,Q0_in,alpha_acq_sh_out,alpha_ext_sh_out,alpha_acq_nosh_out,alpha_ext_nosh_out,Q0_out
0.05,0.05,0.05,0.05,0.05,0.0499987743387464,0.0500033169082599,0.0499975372076733,0.050000533927232,0.0499803407219588
0.35,0.05,0.05,0.05,0.05,0.350005619248805,0.0500030167540899,0.0500011998988157,0.0500003253796422,0.0499829560876606
0.65,0.05,0.05,0.05,0.05,0.649996465072036,0.0500019695609808,0.0500093754380941,0.0500006843358278,0.0499995332211256
0.95,0.05,0.05,0.05,0.05,0.94999711564742,0.0500019611790776,0.0500023560598493,0.0500008239177987,0.0500022248597816
0.05,0.35,0.05,0.05,0.05,0.049996104586171,0.350002212275285,0.0499957806314342,0.0499995432910509,0.0499914631363936
0.35,0.35,0.05,0.05,0.05,0.3500058102818,0.349995540176678,0.0499987696894095,0.0499997333408828,0.0499856721744436
0.65,0.35,0.05,0.05,0.05,0.649978037923574,0.35000436194241,0.0500105749815702,0.0500001776963472,0.049991812556982
0.95,0.35,0.05,0.05,0.05,0.94999168277036,0.350008374167373,0.0500063161948674,0.0499994936626535,0.050000069113139
0.05,0.65,0.05,0.05,0.05,0.0499988470746757,0.649991193264214,0.0500011812728189,0.0499990505213646,0.0499972257221089
0.35,0.65,0.05,0.05,0.05,0.349981292849407,0.650006840209244,0.0499993459670804,0.0500001655600499,0.0500116594776046
0.65,0.65,0.05,0.05,0.05,0.649984593910631,0.650018360040121,0.0500052764509746,0.0500005195572157,0.0499665514907974
0.95,0.65,0.05,0.05,0.05,0.950027321870948,0.650003549408211,0.0499979936594173,0.05000007937997,0.0499871357405937
0.05,0.95,0.05,0.05,0.05,0.0499975535203703,0.94998482207302,0.0499965307535604,0.0499986646755133,0.0500112298468594
0.35,0.95,0.05,0.05,0.05,0.349992774899874,0.949996488174293,0.0500001534078365,0.0500014572603504,0.0500118506088256
0.65,0.95,0.05,0.05,0.05,0.650040740903933,0.950011517765233,0.0500007898081094,0.0500001313630491,0.0500527599069756
0.95,0.95,0.05,0.05,0.05,0.950017931230832,0.950001676159445,0.0499980034073815,0.0499991546676029,0.0500107083644252
0.05,0.05,0.35,0.05,0.05,0.050001513416646,0.0500033626012737,0.350004590305616,0.0500046792512876,0.0500004110799637
