"","variable","mean","median","sd","mad","q5","q95","rhat","ess_bulk","ess_tail"
"1","alpha[1,1,1]",0.0391824935515295,0.0391491949405649,0.0119333730486876,0.0119287323268044,0.0196878549427371,0.058646979203978,1.00064506899952,4516.59070728626,2447.72184821101
"2","alpha[2,1,1]",0.060697113365122,0.0606473809392739,0.0095310483822364,0.00968378867318241,0.0453943472738606,0.0764024155307714,0.999837279980778,5608.58702254501,4654.77456292652
"3","alpha[3,1,1]",0.06835786246502,0.0683647749734178,0.0153452813148199,0.0154162201064722,0.0435402810744926,0.093562389543101,1.00034661428001,5614.04104125385,4544.0282572986
"4","alpha[1,2,1]",0.0317855775194469,0.0314005343510814,0.014645555263005,0.0152017475532005,0.0076870048545586,0.0560015376127404,1.00185375470808,3072.69237589332,2143.25311175172
"5","alpha[2,2,1]",0.0259471697777286,0.0255914189848314,0.0122228474817278,0.0128292091263417,0.00655019309347163,0.0465461271739679,1.00015433647791,3583.90082161039,2375.61330658007
"6","alpha[3,2,1]",0.01615933226438,0.0145423447942971,0.0110762227583984,0.0114649865810058,0.00140768239820082,0.0370520154820065,1.00090466446022,2997.88737813739,2151.36872015886
"7","alpha[1,3,1]",0.247514404210762,0.246954994097303,0.0330275736329766,0.0328888843117515,0.19392180742692,0.300991213028178,1.00031431073053,6382.29648059082,4470.90392963214
"8","alpha[2,3,1]",0.111490574846078,0.111653094490816,0.0224305459123919,0.0224524782928777,0.075073555724013,0.14810958571532,1.00049512042911,5656.38486878004,4100.80519282299
"9","alpha[3,3,1]",0.0905095801145756,0.090253791933814,0.0282445141720554,0.028407820894231,0.0443203659961526,0.137876103423841,0.999992065092108,5628.7566749959,3455.42072291256
"10","alpha[1,4,1]",0.0286212809724901,0.0266874382142446,0.0175425742290749,0.0185994381428399,0.00351950076614464,0.0604434627382976,0.999678362297244,4022.64217493719,3048.97933252352
"11","alpha[2,4,1]",0.0257454909160327,0.0246456922529499,0.0140646572683799,0.0146772334150318,0.00458596376482512,0.0503300546135887,0.99981024944534,3270.86956784781,2384.41525808367
"12","alpha[3,4,1]",0.0374734731759001,0.0358584876207189,0.0209682861413496,0.0222872438985748,0.00594778200641648,0.0740039763596993,1.00040206583424,3489.9085408322,2698.29287013959
"13","alpha[1,5,1]",0.173788423095448,0.173270116884881,0.0312356445671126,0.0311641380304441,0.123121383268719,0.224420631769209,0.999887323673713,6360.91773674098,4856.02900461908
"14","alpha[2,5,1]",0.357277550745057,0.357088329408612,0.0271554481811725,0.0275917863738981,0.312679240020668,0.402045626697519,0.999734211672562,6823.25076574802,4998.0120412791
"15","alpha[3,5,1]",0.24353628902635,0.243601104236727,0.0293932413367736,0.0291628867575011,0.194850926703856,0.292042642280851,0.999858166202965,5822.76343873513,4519.89895241149
"16","alpha[1,6,1]",0.0985504804685444,0.0986247677361995,0.0361810049609625,0.03688948088773,0.0396865559403754,0.159072542581405,1.0006437013796,5184.48612389224,3222.62397696826
"17","alpha[2,6,1]",0.169865499471624,0.170287333483052,0.0290706092861479,0.0287672602921199,0.122414519123455,0.217221390125605,1.00047127228855,5644.52197818938,4282.88699405936
"18","alpha[3,6,1]",0.182023170990748,0.181866305016172,0.0442145041583073,0.0442257471369213,0.109511545361365,0.255815412486419,1.00063213812309,5797.06039816505,4055.92921090638
"19","alpha[1,7,1]",0.180761685267949,0.180470096223766,0.017908901831387,0.0177741446865184,0.151287011626182,0.210360632539427,1.00124878141478,5132.4614284904,3799.95582896284
"20","alpha[2,7,1]",0.146973116287148,0.14691240025047,0.0116248148861061,0.011644819465789,0.128060259679621,0.166045777756133,0.999896954440958,5936.98873323863,4792.4904037887
"21","alpha[3,7,1]",0.164387231119349,0.164504440188353,0.0149358926784699,0.0150714780935865,0.139478801252234,0.188972209477218,1.00079474265066,5542.36651834393,4862.52521405448
"22","alpha[1,8,1]",0.10622905074549,0.105910318811741,0.0349898437338434,0.0346370519512436,0.0485524618666696,0.165305570336012,1.00061576654476,4646.33519693427,2821.25426633386
"23","alpha[2,8,1]",0.0787963657987086,0.0782259863708669,0.0280818589562015,0.0278468626466747,0.0322962371701646,0.124896910719807,1.00010852444364,4912.27555637792,3241.83986568451
"24","alpha[3,8,1]",0.0897976436561079,0.089815654744972,0.0340294829086038,0.0347320708096454,0.0342443946540869,0.146949648589368,1.00048729232952,4741.27753291843,3048.44264768665
"25","alpha[1,9,1]",0.0598664255210055,0.0600402814343901,0.0143008854968941,0.0141807214025618,0.0358202265842659,0.0832614724182581,1.00033043260432,5702.98365541725,3763.67228473654
"26","alpha[2,9,1]",0.0258895521952182,0.0258506508885092,0.0100500581021994,0.00997812867260513,0.00932318398177112,0.042817902228439,1.00052154597419,4085.00245657101,2530.4484569909
"27","alpha[3,9,1]",0.0769665566367958,0.0770702753614898,0.0255493068884608,0.0251756194485738,0.0349504814861875,0.119209934624077,1.00114870663192,4729.69540394287,3713.00659259333
"28","alpha[1,10,1]",0.27050232485954,0.269997096267852,0.0413436800602038,0.0418274066530091,0.204133283452975,0.339309810347617,1.00033955545366,6557.89467868027,4699.48562681136
"29","alpha[2,10,1]",0.227123746764352,0.227050658622158,0.0290800608766636,0.0289334968908952,0.179627116605744,0.274492102180554,1.00043174538063,6796.89862274844,4643.51077639748
"30","alpha[3,10,1]",0.101747763752691,0.101061598848375,0.0331442818967038,0.0337835663685851,0.0475707499934238,0.155985946318723,1.0000632636293,4756.09066229926,3132.35792761092
"31","alpha[1,11,1]",0.0711037103689988,0.0709880822559038,0.0163456417026302,0.0163504711701521,0.0447913804954682,0.0981282923383036,1.00044411676652,6033.73026693509,4114.23248197092
"32","alpha[2,11,1]",0.0746116907665269,0.0745038209344163,0.013432487130845,0.013238245111586,0.0525583296291728,0.0967096089727203,1.00075576509874,6685.82853498776,4844.73559582066
"33","alpha[3,11,1]",0.0865101678107997,0.0861802504562203,0.0165417774277469,0.0163595280950122,0.05971684690705,0.114292682717137,0.999958292161889,5446.69936967315,4079.05559153356
"34","alpha[1,12,1]",0.0215008985635264,0.020571401952773,0.0126180821651465,0.0134309516551646,0.00288359037308607,0.0440355551693809,1.00067626772547,3601.80658914014,2797.47582934112
"35","alpha[2,12,1]",0.0190516588903704,0.0184740043220777,0.00982907442431042,0.0104100224658471,0.00393950586175737,0.0362091904029546,1.00126842733821,3355.86209750666,3039.66850783904
"36","alpha[3,12,1]",0.0218939065507256,0.0208657583595956,0.0125453142920858,0.0134310539572687,0.00326927877284067,0.043990768045007,1.00030904622071,3698.37356224265,2579.74038832159
"37","alpha[1,13,1]",0.246622343919121,0.246135040999788,0.0635065533859322,0.0633897961880007,0.143427792370766,0.350735278593799,1.00003269005686,6645.60174584452,3660.73070356907
"38","alpha[2,13,1]",0.204497248638757,0.204661646979608,0.0261177869318943,0.0264257566339149,0.162024911013799,0.247504981723444,1.00041807632849,7200.54068729853,4272.76665515275
"39","alpha[3,13,1]",0.227290807378981,0.226817517372997,0.0341329133061245,0.0346069954933591,0.171992811195585,0.283562424896975,1.00061636275162,7153.19505933211,5056.97686714535
"40","alpha[1,14,1]",0.0745256361847834,0.0746412779322249,0.0209781562181049,0.0209825018298794,0.040238412358064,0.108701181393808,0.999888368177385,4606.04897424644,3795.73262247798
"41","alpha[2,14,1]",0.0642426487293758,0.0643165441595071,0.0139618093270923,0.0140174348166601,0.0408371178229053,0.0873076332246331,1.00036054427927,5325.07623419714,3905.188249655
"42","alpha[3,14,1]",0.080279042844521,0.0801806370464643,0.0222247387197381,0.0224040824091081,0.0435605256352291,0.116348402422308,1.00001147981335,5479.87085222464,3647.84488811449
"43","alpha[1,15,1]",0.0903066407786002,0.0902002863674588,0.0210404368560667,0.0205791572711592,0.0560901937625664,0.125329654117567,1.00084408705347,5092.29777093997,4284.07103004854
"44","alpha[2,15,1]",0.0922774640779273,0.0923508507841626,0.0163391012861978,0.0160665858446248,0.065631506744993,0.119729586275139,1.00004126130691,5639.41869999254,4395.15210396265
"45","alpha[3,15,1]",0.0741223359261266,0.0738681241419692,0.0245202880654525,0.0247412591682705,0.0336426646413735,0.115286389409315,1.00073818137302,4191.66182676973,3002.48817444624
"46","alpha[1,16,1]",0.0882293391637248,0.0871105653686012,0.0381986852952972,0.0388533081792768,0.0279492674905879,0.154228216280324,1.00121853962959,4342.56129064843,2775.85725056565
"47","alpha[2,16,1]",0.121234670709905,0.12119006332298,0.0287582048566663,0.0294599535836108,0.0742144303003981,0.168452349988614,1.00038789519014,5652.23656788069,3427.30179170435
"48","alpha[3,16,1]",0.180326797317207,0.18056192663409,0.0507791226460188,0.0506566366668665,0.095579685044983,0.262743978610419,1.00030720019221,5312.31847161171,2804.03871479437
"49","alpha[1,17,1]",0.197318145790924,0.197913819177666,0.0685832367867525,0.0702907820271122,0.0861595060432387,0.308946439097116,1.00033972753771,5722.86184969197,3039.00510766328
"50","alpha[2,17,1]",0.187062511895781,0.187297191212009,0.0272339074759346,0.0272215204470835,0.142191299143495,0.231992441647802,1.00045945401076,7061.56591638776,4827.24548065549
"51","alpha[3,17,1]",0.120192775833971,0.119403027073563,0.0351417160689358,0.0352400037249319,0.0638456447115239,0.17867240418297,0.999938488344415,6522.34871388857,3825.1391615364
"52","alpha[1,18,1]",0.07184998298139,0.0716564897391211,0.0199092020508679,0.0197400244877165,0.0387328685098668,0.104748157866387,1.00033909931818,5058.54372288124,3252.37501183757
"53","alpha[2,18,1]",0.0183346713636144,0.0176864161713699,0.0103776439371521,0.0109336708747472,0.00253614560891482,0.0362895569030311,1.0018241905735,3225.9722215419,1340.95011717965
"54","alpha[3,18,1]",0.033233903127135,0.0332494657827447,0.0127859703116184,0.0129941967430263,0.0114554178146714,0.0539176210163029,1.00082701743124,4534.35222631584,2640.35900421773
"55","alpha[1,19,1]",0.0409746329474986,0.0385434562135771,0.0237005223276512,0.0247774600457372,0.0065247635874985,0.0836400625287078,1.00077090488789,4029.11984968491,2900.3698064293
"56","alpha[2,19,1]",0.0933298142410308,0.0933682696572991,0.0179906537404396,0.0183979862309445,0.0637879391032821,0.12278539566468,1.00045921319015,4965.21701577457,3964.2934386936
"57","alpha[3,19,1]",0.0506599433553871,0.0499007149535704,0.0239006741136546,0.0249301422183767,0.012535034085299,0.0908236105832862,1.00059798727102,4054.05335770613,2480.12814348872
"58","alpha[1,20,1]",0.0354872686832185,0.028021749294763,0.0299209239244144,0.0265415092040864,0.00228492281059157,0.0967736030284672,1.00085036431722,5450.28780958036,3159.57306076704
"59","alpha[2,20,1]",0.0485797441595152,0.0481874479940114,0.0209249785057863,0.0215486320664,0.0142771387946956,0.0838656586930075,1.00122858415596,3602.47316729267,2552.57454616358
"60","alpha[3,20,1]",0.0479752311487822,0.0478843883711901,0.0153815142221179,0.015361015424592,0.0225043452886274,0.073629899786053,1.00066816850033,4979.10097067318,3524.4374764274
"61","alpha[1,21,1]",0.077756930830929,0.0755803399956133,0.0398583246664382,0.0412259629295865,0.0149339892038257,0.147384120678084,1.00081255532896,4262.99059332243,2772.9584295847
"62","alpha[2,21,1]",0.133988964918961,0.133663147941458,0.0415516925818035,0.0414188694530623,0.0660246738058871,0.202439771542537,1.00000818472862,4425.0726327095,2128.73470407059
"63","alpha[3,21,1]",0.142238315267531,0.14081876788952,0.0559519646275424,0.0563881102724444,0.051314490164921,0.235345527943947,1.00101699101908,5119.99171256042,2987.23968236982
"64","alpha[1,22,1]",0.0967028074638715,0.0965767237955514,0.0217907703316596,0.0216439745472668,0.0606543537945578,0.133513147620241,1.00048953287731,5962.66237547354,3584.69922276535
