"","variable","mean","median","sd","mad","q5","q95","rhat","ess_bulk","ess_tail"
"1","alpha[1,1,1]",0.0303504475655332,0.030296043085199,0.00711656328218257,0.00697032203484454,0.0188451584223269,0.0421372150959572,1.00049330494316,5161.18710410867,3774.72229901717
"2","alpha[2,1,1]",0.060189097648489,0.060217173970363,0.00566604968041558,0.00561875656050647,0.050781425846061,0.0694009588663544,0.999994294201037,5821.72590019758,4378.97898316423
"3","alpha[3,1,1]",0.0684150759543115,0.0684159600393237,0.0090780957143973,0.00896652815471817,0.0535319002217057,0.0831808840839331,0.999466924401219,5689.71443931063,3818.97746024028
"4","alpha[1,2,1]",0.0308534196063793,0.0309554071131734,0.00893967973934486,0.00886508471376513,0.0160029123731475,0.0455258462497756,0.999727496384333,4990.87386721405,3388.32997209164
"5","alpha[2,2,1]",0.0251905410864017,0.0251529602259891,0.007484692185395,0.00752341563501055,0.0129372800877335,0.0376870785009688,1.00060520278824,4627.99540325724,3535.85543783353
"6","alpha[3,2,1]",0.0114696735590666,0.0106846870297748,0.00702442108410582,0.0073370104422443,0.00159177581660902,0.024049472848997,1.00013763690199,3532.28360805847,2539.22075000984
"7","alpha[1,3,1]",0.249875176698396,0.249939001616271,0.020358069001834,0.0201273349845688,0.2166861248007,0.283764059998894,1.00067579760994,6155.57381547853,4092.60651428782
"8","alpha[2,3,1]",0.102506976338621,0.102186416120453,0.0141228935895312,0.0139558141526967,0.0794014132033879,0.126211401532178,1.00062159242325,6550.36243585725,4703.23638785891
"9","alpha[3,3,1]",0.0809792089930788,0.0811851902068269,0.017689582153217,0.0173482640432188,0.0515117689781551,0.109791184454334,1.00080040268601,4791.04276445144,3522.85789361672
"10","alpha[1,4,1]",0.0224371290915378,0.0220136210572551,0.011587835453666,0.0121129481431868,0.00426557862856153,0.0424322823585968,1.00094960812048,3641.6829263848,2934.57381885567
"11","alpha[2,4,1]",0.0231415085979598,0.0230596403029826,0.0092973985541538,0.0094742835648154,0.00797653257215761,0.038638298914894,1.00057664004193,3504.40593426215,2111.40834266224
"12","alpha[3,4,1]",0.0344076364872131,0.0341463874184602,0.0140191989521624,0.0140750017381805,0.0117141418420209,0.0580519294990523,1.00090106378719,3534.94564096174,1943.62065931481
"13","alpha[1,5,1]",0.176997869316678,0.17680761383258,0.0189414969163249,0.0184917309797665,0.1456826220371,0.207931689700579,1.00054436446454,6086.39084362968,5100.76889966162
"14","alpha[2,5,1]",0.374394741450891,0.374666794646261,0.0165866154629593,0.0163024240304516,0.347364999298363,0.401975038868116,0.999632701777564,6404.55291872643,4936.20032079006
