"","variable","mean","median","sd","mad","q5","q95","rhat","ess_bulk","ess_tail"
"1","alpha[1,1,1]",0.0390949481436768,0.0393039400998342,0.0117883351799315,0.0115936807146547,0.0194935447675432,0.0579160757364201,1.00037362307799,4417.47311906665,2647.34080876022
"2","alpha[2,1,1]",0.0607289480564319,0.0607547921386718,0.0093207740650179,0.0091082080224811,0.0450350025715199,0.076052314900983,1.00210883537945,4870.21411991165,4238.52081038302
"3","alpha[3,1,1]",0.0684135126126388,0.0682917755806216,0.01565995039651,0.0155382312008356,0.0428555585587282,0.0942784718634315,1.00003795892011,4976.59667047642,3497.1286628025
"4","alpha[1,2,1]",0.0314497047177553,0.0310311414729473,0.0147922186920555,0.0157837864754862,0.00763246142013528,0.0562952438984943,1.00121368377185,3499.13085525033,2499.91398557747
"5","alpha[2,2,1]",0.0255085486941612,0.0250597317048227,0.0122869204526996,0.0129019560065414,0.00576769969006978,0.0462434150315356,1.00045714786799,3112.58525036536,1943.31880466618
"6","alpha[3,2,1]",0.016111563143698,0.0140592220489753,0.0111403559899763,0.0110343334958746,0.00155332084381629,0.0376061007409262,1.00020370924624,3845.77131757362,2933.62608342584
"7","alpha[1,3,1]",0.254545090773991,0.254040271641768,0.0330457890556066,0.0324190198583586,0.200468513486877,0.308774693459275,1.00092379666615,5489.00121797954,4615.88363821195
"8","alpha[2,3,1]",0.112473009767499,0.112595804750154,0.0229977586742784,0.0225265874356488,0.0744222738836975,0.150062677801241,1.00032111099993,5162.5596409343,3821.22708691908
"9","alpha[3,3,1]",0.0913874948428666,0.0915277447300085,0.0281748461144179,0.0281264261893565,0.0446806228988227,0.137208304641399,1.00083104171931,4932.66199033079,3463.57050224531
"10","alpha[1,4,1]",0.0277978381789984,0.0254197665319666,0.0178914159784292,0.0185640865234032,0.00289619201437498,0.0607086443167917,1.0015080496019,3091.24776797334,2446.5296537179
"11","alpha[2,4,1]",0.0250202659584403,0.0238339423381957,0.0143047979355088,0.0152228088003137,0.00369264185009442,0.0502427007154573,1.00019725301706,2983.24151945469,2012.90492984073
"12","alpha[3,4,1]",0.037408036303598,0.0359607998096847,0.0205559719037972,0.0221040382757303,0.00661311815618503,0.072704075704675,1.00036781349546,4069.48807135057,3048.11570530815
"13","alpha[1,5,1]",0.177411504305361,0.178144676191272,0.0323698170579624,0.0326667061599768,0.123664854753951,0.230437512252838,1.00115812536566,5506.41244810038,4553.82087573145
"14","alpha[2,5,1]",0.364216520759507,0.364095083120855,0.0271371035083992,0.0269668211368122,0.318645719996952,0.409526438685514,1.00010169427358,5338.6669490962,4464.2828845112
"15","alpha[3,5,1]",0.250009212776941,0.250015634951362,0.0305206853796622,0.0309046771548158,0.200324838804228,0.300244323418767,1.00030563533732,5747.55554605573,4279.94027447372
"16","alpha[1,6,1]",0.100097122282897,0.0991824626589141,0.0366506226031226,0.0364006651925037,0.039349645098797,0.161347036542988,1.00040849367681,4420.56190565486,3030.80525515214
"17","alpha[2,6,1]",0.173638567868223,0.173138976440355,0.0305671816365306,0.0307101045386125,0.123263436961741,0.224258635471652,1.0001119113827,5814.57478735722,3974.39093160142
"18","alpha[3,6,1]",0.191079588062844,0.191359452548744,0.0449148107486549,0.045443475076304,0.117693871023294,0.26405090898953,1.00048803329867,5467.75078328788,3917.90944419683
"19","alpha[1,7,1]",0.183312384267003,0.183211770439966,0.0182118441981743,0.0180598600175063,0.15358755631123,0.213460521013201,1.00102553405454,5047.73428245998,4291.81200944046
"20","alpha[2,7,1]",0.14807417570148,0.147931636648466,0.0118002460790787,0.0117060317489859,0.128688843893106,0.167631670546548,0.99980531030444,5234.47961772773,4476.41831478078
