"","variable","mean","median","sd","mad","q5","q95","rhat","ess_bulk","ess_tail"
"1","alpha[1,1,1]",0.0302314849583679,0.0301549491350317,0.00706955665861177,0.00706788244209128,0.0189055997435545,0.0420881962746782,1.00055440649254,4577.43991944487,3859.33595446792
"2","alpha[2,1,1]",0.0602505919218999,0.0603707010676442,0.00570744080890076,0.00578908967214906,0.0507699358958579,0.0693684192819496,1.00007714905478,5693.30492238878,4502.39015580176
"3","alpha[3,1,1]",0.0683060026491475,0.0682519688904702,0.00906795121030938,0.00911839373664282,0.0534189703076677,0.0830515199891477,1.000014068715,6093.80698836711,4742.91292317513
"4","alpha[1,2,1]",0.0307030458284554,0.0306643686578771,0.00883349763332216,0.00900427485541295,0.0163175976238446,0.0455301195317982,1.00075207128313,4467.97132705033,3781.26071978498
"5","alpha[2,2,1]",0.0250395682356026,0.0250101669482989,0.00741066368150456,0.00740456775631177,0.0126361857606187,0.0374462900300381,1.00136121842885,4723.61623321997,3337.59814756964
"6","alpha[3,2,1]",0.0113687860440848,0.010591793308277,0.00704844554126829,0.00734795382759994,0.00133972374290281,0.024359141667071,0.999824587246928,3862.11012297488,2736.40660409718
"7","alpha[1,3,1]",0.248953122463358,0.248796923770101,0.0204101171705389,0.0205072420411436,0.21594129378887,0.283169892568392,1.00004002901003,5982.32986119388,4567.37196049927
"8","alpha[2,3,1]",0.102283769168929,0.102350076773764,0.0143215919723654,0.0142015640029004,0.0780944641157287,0.126126745374304,1.00013217702501,5757.47112630007,3585.37950077188
"9","alpha[3,3,1]",0.080644445697588,0.0805444030752101,0.0176402264696732,0.0174916695133564,0.0521018014674942,0.109555714234206,1.00068361041604,4410.77087317935,3974.66739366552
"10","alpha[1,4,1]",0.0222524239037252,0.0218460449350427,0.011745883014313,0.0124933353018344,0.00383202909969684,0.0425334832328757,1.00104195485914,2758.27647934232,1863.28435890042
"11","alpha[2,4,1]",0.0227767195100564,0.022580069235889,0.00930831648577844,0.00958358707087702,0.00748952782815448,0.0384018605100353,1.00121618394154,3567.33151408964,2370.03551698822
"12","alpha[3,4,1]",0.0341599111875805,0.0341690294748815,0.013858212428753,0.0139537627025086,0.011421282023995,0.0573229792769854,1.00106381404083,3079.98340515499,1493.63269438496
"13","alpha[1,5,1]",0.176851755516346,0.176835599370331,0.0193890483108677,0.0193553960225015,0.1454432127713,0.208582748455955,0.999772714741705,5615.23484415524,4745.26921883615
"14","alpha[2,5,1]",0.373484157500062,0.373631892734747,0.0163312296007766,0.0167559019925301,0.346928708240825,0.39968788953992,0.999977675145346,5564.35194895137,4624.636876044
"15","alpha[3,5,1]",0.249040501931868,0.2490862978245,0.0180644377134345,0.0173202248530408,0.218949150543586,0.278781377053561,1.00076612416812,6293.6183340698,4753.68491293769
"16","alpha[1,6,1]",0.0945185780966543,0.0947549827562701,0.0227797480921311,0.0228181091804504,0.056977219267761,0.131654639536921,1.00052683412121,5257.34189787386,3283.29648067978
"17","alpha[2,6,1]",0.180693781531824,0.180710600517468,0.0186634915749779,0.018359352648168,0.150012211540789,0.211311197380583,1.0011920036319,5619.09952397393,4325.56192722016
"18","alpha[3,6,1]",0.204998194452544,0.204891996823081,0.027962840206109,0.0280354038127258,0.159999818530873,0.250842292434089,1.00033413353904,5416.32663194849,4861.38224891394
"19","alpha[1,7,1]",0.183998739751412,0.183921259433777,0.0106276344974848,0.0107991590512799,0.166787263390332,0.201605863231301,1.00103583958275,6047.81279936775,4738.91105095771
"20","alpha[2,7,1]",0.147864790785306,0.147793376200461,0.00707884838886698,0.00708557508202272,0.136264207848606,0.159595673406051,1.00051420791463,5936.27025377587,4975.43955759253
"21","alpha[3,7,1]",0.166005204414414,0.165933022446967,0.00902036456521344,0.00904461231990935,0.151396988702273,0.180720084398381,1.0004856460421,5759.32519529214,4346.19774755135
"22","alpha[1,8,1]",0.106687444835626,0.106630805679727,0.0218511336830042,0.0208403551629816,0.0706493986163506,0.142928273039276,0.999923567717985,4971.84101238208,3936.94275522549
"23","alpha[2,8,1]",0.0788088290388749,0.0787805970098056,0.0171238090857273,0.0172676471465736,0.0506154044143037,0.106931164640522,1.00027908257093,5026.87574609018,3957.23454507
"24","alpha[3,8,1]",0.0886698731929889,0.0884829239110661,0.0209140601535132,0.0209915920338005,0.0536106094919774,0.122857661789651,1.00017962798861,5374.32880857573,3689.73453110761
