"","variable","mean","median","sd","mad","q5","q95","rhat","ess_bulk","ess_tail"
"1","alpha[1,1,1]",0.0397002292847382,0.0396393994876034,0.0116898936292974,0.0117143724335766,0.020252455744843,0.0591229392562712,1.00146233045121,5869.88614086363,3101.78842132811
"2","alpha[2,1,1]",0.0608355463825638,0.0608190553803549,0.00953650825578099,0.00948862955119399,0.0449109283673047,0.0766438598598951,0.999915569559769,5312.99716483125,4113.30140815497
"3","alpha[3,1,1]",0.0683665923374177,0.0684528402421869,0.0157347752697724,0.0157834427488771,0.0420633497702123,0.0937682492266819,1.00068084452416,5503.44288985683,3890.43224242917
"4","alpha[1,2,1]",0.0320794197508159,0.03189630541859,0.0146209019461436,0.0149863499201134,0.00842947361581347,0.0566480388493454,1.00081883969324,3551.58703880026,1965.16184738609
"5","alpha[2,2,1]",0.0262248805144077,0.0257571061032876,0.0121890649929995,0.0128352237116397,0.00655628877110894,0.0468365280790154,1.00042446271939,3704.76183250728,2594.25746376915
"6","alpha[3,2,1]",0.0165539413541751,0.0149816755458018,0.011324928585838,0.011793894502981,0.00147578225963899,0.0375946698492535,0.999955171288454,3925.25691666936,2899.64753207868
"7","alpha[1,3,1]",0.245341960706001,0.245362950596915,0.0323205210503214,0.0320250038241625,0.192107500588063,0.299355983507198,1.00050514763345,6569.95706098432,4757.11292366912
"8","alpha[2,3,1]",0.11106790492506,0.110796808027707,0.0228720348729092,0.0232637035062924,0.0745473542510188,0.149037263707029,0.999994966764226,6733.0756230627,4652.473691214
"9","alpha[3,3,1]",0.0900727625029152,0.0898950078552975,0.0276540891584778,0.0284382173765161,0.0453674227922763,0.136575097192539,1.00010805903136,5175.7508508828,3932.38511358117
"10","alpha[1,4,1]",0.0287193632579914,0.026741983051021,0.0178405878873772,0.018648393799833,0.00382577048791726,0.0618197615198106,1.00109870222313,3939.3970284804,3159.39226953114
"11","alpha[2,4,1]",0.0260320305586828,0.0251464864667193,0.0139492117760075,0.0148735394879051,0.00472975536450942,0.0505844775545281,0.999839063407204,3801.5798664375,2445.4027805006
"12","alpha[3,4,1]",0.0374284048324702,0.0357534843714022,0.0208749493168203,0.02243380975468,0.00615227418503819,0.0741627635762249,1.00022896535723,3298.92407581532,2526.03707931142
"13","alpha[1,5,1]",0.172048224751938,0.172301129242122,0.0308852843144877,0.0300625220468564,0.121599927799756,0.224550145378203,1.00003505846055,5625.81067738658,4711.35040407459
"14","alpha[2,5,1]",0.352841703148902,0.352644724380146,0.0271983655170892,0.0271589272133855,0.308281030171708,0.397207031775357,0.999725324451213,5810.19715875366,4439.08704859914
