"","variable","mean","median","sd","mad","q5","q95","rhat","ess_bulk","ess_tail"
"1","alpha[1,1,1]",0.0430908625121421,0.043063238567912,0.0116749808445811,0.0117821335042501,0.023999450548151,0.0621342612635531,1.0002962865291,5722.15422395633,3615.10042962881
"2","alpha[2,1,1]",0.072057164664226,0.0720016598630773,0.0094279964427695,0.00920078502579559,0.0564878479136984,0.0878655604403571,1.00084982832729,5939.3192031053,4418.23050379899
"3","alpha[3,1,1]",0.0681941377958796,0.0680718754830753,0.015478855487404,0.0154726976137604,0.0424517781971088,0.0930381530362404,1.0003097997638,5863.19940748397,3838.7459988946
"4","alpha[1,2,1]",0.0334700413150887,0.0334522798567203,0.0130632766183972,0.0133348873017836,0.0116442759129138,0.0551864416688385,1.00021626790206,4350.45446321015,2388.61139221972
"5","alpha[2,2,1]",0.017905476603355,0.0173242338577403,0.00931163035102861,0.00975100681289726,0.00365820835888546,0.0341286333937451,1.00207857803196,3231.93412273267,2700.05500309392
"6","alpha[3,2,1]",0.01366378998141,0.0123172532382253,0.00924826544444195,0.00963254466173802,0.00133544064436178,0.0304626610368164,0.999925432218993,3188.637258094,2817.20962159573
"7","alpha[1,3,1]",0.259331681268929,0.259394992066922,0.032942404178888,0.0324810661993507,0.204395438047427,0.312521901017276,0.999824490527203,6303.71703434308,4265.10213393969
"8","alpha[2,3,1]",0.126448974537021,0.126470913835908,0.0217629761433106,0.0218860769578526,0.0909967716986737,0.162505356180993,1.00063861125265,6178.38177842481,4358.0255338947
"9","alpha[3,3,1]",0.0936826205087013,0.093629360976227,0.0275608989435687,0.0273147142534774,0.0478420920670573,0.139356893928896,1.00103484663664,4713.36217279958,3410.60340322265
"10","alpha[1,4,1]",0.0155923620285534,0.0127095208017017,0.012457538805231,0.0116697177146918,0.0011285340455209,0.0393268399586833,1.00079213525837,4233.87084663203,2316.86481618772
"11","alpha[2,4,1]",0.0157249335249896,0.0146044524658401,0.00982493619296819,0.0103342490865475,0.00166895340641474,0.0338775712157728,1.00161811424745,3865.72710655342,2616.13725881825
"12","alpha[3,4,1]",0.0256235566468279,0.0208864592306849,0.0207256399214205,0.0194079688503559,0.00169910776368848,0.0656472333481361,1.00023701369962,4610.89582357017,3106.82578364705
"13","alpha[1,5,1]",0.186285327790014,0.185876105351532,0.0335668689597754,0.0336761345681434,0.131569422799699,0.240933364075305,0.999884372692522,6441.06891635765,4797.59762389472
"14","alpha[2,5,1]",0.334418566097718,0.334208241815915,0.0270709981660341,0.0266773398839213,0.290241395698851,0.379286461534744,0.999563648016672,7026.47438323435,4465.96460551292
"15","alpha[3,5,1]",0.261575734108409,0.261906589091384,0.02905776927171,0.028605768902623,0.212726361194829,0.308229089801614,1.00073226149882,6704.03681734973,4719.85071116512
"16","alpha[1,6,1]",0.0948419856831941,0.0932863296093587,0.0383295933251435,0.0391202466455021,0.0333165145029816,0.160470262939322,1.00135153332273,4903.93422128114,3126.02622141545
"17","alpha[2,6,1]",0.158567367644642,0.158925321430685,0.0289177549570885,0.0289528495859148,0.110514622186979,0.205900544512663,1.00048336137271,6343.03574038311,4560.21670452094
"18","alpha[3,6,1]",0.185370940499607,0.185770168478545,0.0482068058624924,0.0470279902296209,0.10471885147934,0.265364837281118,1.00110841588159,5186.13780933337,3837.72126983381
"19","alpha[1,7,1]",0.177434522593962,0.177547008584649,0.0192967995059212,0.0189109725674757,0.145876761052102,0.208984264894046,1.0005859967555,6327.01494087131,4708.1613237555
"20","alpha[2,7,1]",0.159083921802422,0.1591748694044,0.0121715668753735,0.0121020818750151,0.138914672694194,0.178989125140755,1.00028122473504,6094.17775117828,4741.46346533672
"21","alpha[3,7,1]",0.179078945722519,0.179090531837002,0.0153910566382295,0.0154040703967185,0.153910606671466,0.204185199528446,1.00040333119808,6363.23165067625,4720.65156716581
"22","alpha[1,8,1]",0.109558628461861,0.108516385170475,0.0356372597399525,0.0351096904456386,0.0518930607286248,0.169569488365732,0.999848538736361,4795.90748117249,3721.00574275971
"23","alpha[2,8,1]",0.0601084689848105,0.0600757329003286,0.0258355690845818,0.026901914315154,0.0175514465449588,0.10357372971741,1.00065823963975,3718.67006109781,2593.63571615665
"24","alpha[3,8,1]",0.0989040105608398,0.0990335076556559,0.0322299058102905,0.0320819546911441,0.045768092823035,0.1523811883263,1.00135404429284,4488.34999134448,2417.95424353891
"25","alpha[1,9,1]",0.0661113536989951,0.0664151001953874,0.0135907456313883,0.0137255545509917,0.0436785387303557,0.0882309607605932,1.00027764728256,5401.77697462891,3650.19217217201
"26","alpha[2,9,1]",0.0290019971272903,0.0288372237368468,0.00989952850822877,0.00994593137871354,0.0127375163371239,0.0451523660081801,1.00049940244448,3965.57209110718,2493.31958236443
"27","alpha[3,9,1]",0.022378358375808,0.0174239491781665,0.0190168487614636,0.0166921882632984,0.00134775451767956,0.0595784102328725,1.0002025096349,4410.9436928252,2900.88221481263
"28","alpha[1,10,1]",0.323001546720146,0.322223042152817,0.0451341540615358,0.0452793988189009,0.247962452255854,0.397357186095003,1.00007237384328,6121.95026627224,3929.61495850666
"29","alpha[2,10,1]",0.254828911598545,0.254414245842529,0.0296934527462257,0.0293511935613504,0.206710655604145,0.303561628606713,0.99958901832235,7201.53934446473,4330.14284587197
"30","alpha[3,10,1]",0.114461912456211,0.114529216823126,0.0349489726395631,0.0350734488259733,0.0578850555225323,0.172746476445493,1.00129336035549,4972.77752375659,3387.47933574506
"31","alpha[1,11,1]",0.0860711451425418,0.0856761604351528,0.0160013244855394,0.0163468128310083,0.0600517610002427,0.112671055416012,1.00083073522652,6119.9721853355,4415.2803554017
"32","alpha[2,11,1]",0.08113953494927,0.0808828114243941,0.0138341744774177,0.0133582889346355,0.0582630247233338,0.103837065745489,0.999894069353914,5950.01894876059,4335.21628455089
"33","alpha[3,11,1]",0.0997915353619622,0.0997119491106946,0.0165850582511688,0.0165820402657214,0.0725271204814485,0.127079099148109,0.999704845540033,5655.48679878675,4138.91070824288
"34","alpha[1,12,1]",0.0205482061197,0.0190416006203858,0.0127627454343181,0.0134264419313431,0.00243939998321981,0.0436890783631814,1.00004548738808,3652.61023984675,2119.88616687785
"35","alpha[2,12,1]",0.01417648092297,0.0134830057657147,0.00809618295641059,0.00867285431115233,0.00244064649178109,0.0285654235639304,1.00099475720424,3787.52089253406,2896.5076492512
"36","alpha[3,12,1]",0.0361118207466252,0.0346686512053976,0.0200721177492974,0.021204577057081,0.00564954018580338,0.0708751656135225,1.00021488512844,3678.09237772116,2560.76801139603
"37","alpha[1,13,1]",0.255861696184901,0.255836262626365,0.0698323359249753,0.0692341230167034,0.141568124392479,0.368811588676166,0.999774836118427,6071.11134131827,3672.06771456854
"38","alpha[2,13,1]",0.219679223974866,0.219426298381877,0.0278046757631763,0.0273794587411671,0.173825753836557,0.265228854634127,1.0001278152008,7147.32924788711,4490.16867537528
"39","alpha[3,13,1]",0.237014870986728,0.236732034451841,0.0350875577357167,0.0352496393693475,0.180337858562379,0.294914378617594,1.00059171762277,7156.74264861669,4374.60090811111
"40","alpha[1,14,1]",0.104728365450678,0.104642294687574,0.0214244320716745,0.0210773674555309,0.0702177700843623,0.140978989293549,0.999681481630452,5263.60382375058,3875.0985218668
"41","alpha[2,14,1]",0.0697058483572212,0.0697374729570923,0.0141462575122901,0.0140961215460075,0.0466456366333545,0.0930581317229865,1.00016752586659,5250.66249190184,3666.28811329279
"42","alpha[3,14,1]",0.0820706656917261,0.082364867645504,0.0232691021256091,0.023259956353141,0.0435929226748997,0.120183141830739,1.00044028203741,5112.32586738368,3779.89988611119
"43","alpha[1,15,1]",0.0703443989362709,0.0700232728330238,0.0218621420950509,0.0217963872951097,0.0351252891289088,0.106655783778461,1.0020616954931,4774.51056015432,3215.22412396117
"44","alpha[2,15,1]",0.0970615662031442,0.0973162011502394,0.015868133704901,0.0161825218176285,0.0713443948238755,0.122843711432886,0.999913911416699,5861.17980738586,4229.95200195207
"45","alpha[3,15,1]",0.0800734385787849,0.0798998288082725,0.0264711800838108,0.0269965794142731,0.0370314746234829,0.124114736696036,1.00053098810195,4303.86572549411,3295.81669660366
"46","alpha[1,16,1]",0.108935673253921,0.108685603933721,0.0406368090990487,0.0409967828688949,0.0422795926089964,0.17653226763335,1.00114282087431,5156.7087199526,3240.99987690108
"47","alpha[2,16,1]",0.135358031946418,0.135307220097187,0.0283500097867727,0.0287121384998661,0.0890848657158479,0.182110987259004,1.00058706660039,6181.88070980667,4084.60159976148
"48","alpha[3,16,1]",0.200522456735769,0.200032712792413,0.0543945134896171,0.0541481641124778,0.111866482908164,0.292622729218705,0.999953397491771,5669.02010363649,3952.77771472657
"49","alpha[1,17,1]",0.195074307140397,0.194700172819412,0.0743800876516111,0.0764633984018418,0.069491784176696,0.3160382146712,1.00039567814528,5150.93368024419,3303.1196816197
"50","alpha[2,17,1]",0.177740348098402,0.177868164602282,0.0267742862126851,0.0267991266361346,0.134529480302772,0.220839425005667,1.00016789800709,7163.86884438685,4446.21127037324
"51","alpha[3,17,1]",0.129095560438384,0.128971078923131,0.0332884440741058,0.0346572677783243,0.0755663905267495,0.184491346772687,1.00007860690518,6226.24897819679,4213.701361674
"52","alpha[1,18,1]",0.0700075506260735,0.0698341215045109,0.0189280235290706,0.0190116888200571,0.0387559218567329,0.101446058233466,1.00095644920638,5629.06511987718,3981.62960581197
"53","alpha[2,18,1]",0.021570513072946,0.021161516156923,0.0106244003220324,0.0110744804042588,0.0049946313011812,0.0396521963813953,1.00023851310592,3438.00637835938,2284.40029223758
"54","alpha[3,18,1]",0.0311273044029047,0.0307619139817071,0.0125442455211526,0.0127881743689277,0.0108607565515269,0.0525789138203312,1.00119981693873,4630.36777463634,2778.08640339177
"55","alpha[1,19,1]",0.0971755874966398,0.0961663162935725,0.0443747641680418,0.045672292350394,0.0256899624540271,0.172815770339095,1.00093883177217,3893.01275217594,1924.76242394438
"56","alpha[2,19,1]",0.0647840120149052,0.0648972208250365,0.0161716669568456,0.0161488891855201,0.0377541646484319,0.0908712849767958,1.00021740484295,5674.5257501262,3593.18789699251
"57","alpha[3,19,1]",0.0677554997643119,0.0672170864439874,0.0285791698962681,0.0291786880106711,0.0216649037865688,0.116676214237486,1.00065778329199,4582.99926596312,3087.83555295045
"58","alpha[1,20,1]",0.0259434381054048,0.0188297166368833,0.0246626022221388,0.0186888441749727,0.00148216980687715,0.0746659611032061,1.00125946268559,5600.26106775997,2821.21285624623
"59","alpha[2,20,1]",0.0244773862744448,0.0207064050928777,0.0180312109219353,0.017637838327547,0.00210746950973808,0.0599124656660207,1.00091820620848,3864.70245099652,2730.77484484391
"60","alpha[3,20,1]",0.0469396930859029,0.0467003745270837,0.0150248496405508,0.0153610468634701,0.0222612185876711,0.0716171838660619,1.00038023478144,4700.06221618757,3516.85602934395
"61","alpha[1,21,1]",0.0532357708816953,0.0489106424001848,0.0341922505393928,0.0365156949392188,0.00619412980206964,0.11629835952407,1.0008255016768,4366.1610443866,2678.96563580932
"62","alpha[2,21,1]",0.095123382154803,0.0950164119860128,0.0373269543714133,0.0380343069052424,0.0331884003859987,0.157362940222497,1.0003553001025,4950.23384517451,2758.72435731218
"63","alpha[3,21,1]",0.163710068536359,0.162120989761628,0.0677068142054977,0.068243887920183,0.055076335941719,0.279651153812609,1.00035800735055,5406.2382086241,2497.91482966296
"64","alpha[1,22,1]",0.108201511298669,0.108215979730436,0.021585641904045,0.0217955540876029,0.0731365596582885,0.142984758304819,1.00096884275783,6472.74470349453,4487.55541832616
"65","alpha[2,22,1]",0.0484061600223189,0.0484977761299371,0.0149559999292519,0.0152307245029555,0.0245507124154829,0.0730090243088491,1.00113760554273,5281.79253191428,3103.27029658293
"66","alpha[3,22,1]",0.06175804238033,0.0616194434683188,0.0236237382097194,0.0244217213132089,0.0231858432453786,0.101279463186034,1.00010821267192,4281.54993629361,3041.0223470992
"67","alpha[1,23,1]",0.0818139317419353,0.0818030059078204,0.0217908014002291,0.0218112968644787,0.0459328134386816,0.118033362619083,1.00140076044944,5527.09061169918,3895.71981640805
"68","alpha[2,23,1]",0.112670882345586,0.112170897538235,0.0195435473333278,0.0189910757755187,0.0808266669263129,0.145239291302431,1.000777451228,5713.86906382946,3813.61862979407
"69","alpha[3,23,1]",0.122585296284594,0.12224910359631,0.0477029644459689,0.0480130685448396,0.0434695658490029,0.202491012432509,1.00019915557283,3859.45238042896,2342.42863518418
"70","alpha[1,24,1]",0.0976363188722124,0.0977141384212358,0.0211110459906021,0.0213459341254901,0.0632955630482941,0.132432982095955,1.00060880251097,5611.25396701516,4347.80270750036
"71","alpha[2,24,1]",0.0567259225869727,0.0567657535873363,0.0118889271172164,0.0118978357560753,0.037156005309535,0.0762540568837082,1.00223034589006,5594.29306135398,3726.80848883505
"72","alpha[3,24,1]",0.0434755897417886,0.0432651163630323,0.0171735058922264,0.0176794985524342,0.0153927560377029,0.0717697891723428,1.00065615656415,4134.13366124121,3014.40374936074
"73","alpha[1,25,1]",0.191287574792373,0.191339607768687,0.0317679988963858,0.03192583712788,0.139615343723912,0.242824003341987,1.00056614342075,5836.60385626617,3855.73817856469
"74","alpha[2,25,1]",0.159330235428382,0.159086854309388,0.0228356212008112,0.0226108186890357,0.122316483469273,0.196688417400307,1.00102142151436,5792.61071123914,4253.58860581108
"75","alpha[3,25,1]",0.2853043517985,0.285274185540982,0.0547346970354951,0.0532465890981659,0.193305762238172,0.375059409415982,1.0008013000671,6167.13846330496,3595.46679161793
"76","alpha[1,26,1]",0.0964420893057317,0.0963899787065925,0.0165947554715274,0.0165166748228574,0.0691873762329644,0.123831600203267,1.00129651308196,7669.78191256972,4594.69125069153
"77","alpha[2,26,1]",0.109794399313392,0.109748565403588,0.016679898573978,0.0166731077476844,0.0828186455341659,0.137183744137097,0.999439112902291,6643.85688145496,4380.20217375729
"78","alpha[3,26,1]",0.247551406442189,0.247434442780673,0.0295442550528829,0.029478629041236,0.198306365747821,0.295743793660534,1.00078377903626,5467.86552291721,4297.56884496963
"79","alpha[1,27,1]",0.0440348315988652,0.0440325307804562,0.00994424245832136,0.0104116010321809,0.0278599848078358,0.0603960483577878,1.00113641950056,7177.56293335685,4311.01935535128
"80","alpha[2,27,1]",0.036966878948237,0.036935669051693,0.00858404997741123,0.00877401777223694,0.0229530718064188,0.0510455270298323,1.00098026661344,6418.83390195188,4135.42987584491
"81","alpha[3,27,1]",0.0916837017082931,0.0917935981280683,0.0131709553756196,0.0129013305746818,0.0699970226312254,0.113029998905564,0.99968756931186,6471.59664027447,4082.16263444116
"82","alpha[1,28,1]",0.131330491232422,0.131539388039128,0.0217936795950589,0.0216366230663905,0.096048712849769,0.167601440749641,1.00032046009316,5879.09141471714,3919.16357028048
"83","alpha[2,28,1]",0.157392710629722,0.157446064556843,0.0174327623233526,0.017894424938219,0.128683870736864,0.186371327332309,1.00135855702579,5874.23520588537,4611.98202230083
