"","variable","mean","median","sd","mad","q5","q95","rhat","ess_bulk","ess_tail"
"1","alpha[1,1,1,1]",0.0393407526141764,0.0393946063903116,0.0117022259347737,0.0116101989890531,0.0201095417194134,0.0585953172999432,1.00015756314659,4310.26476454174,2827.67713320211
"2","alpha[2,1,1,1]",0.0629200201533111,0.0628193197198069,0.00992345480183853,0.00986561081826384,0.0466700004129827,0.079774316913678,1.00018305326434,5329.48688696854,4056.04115094288
"3","alpha[3,1,1,1]",0.058976916533391,0.0592786055835896,0.0160758713746168,0.0158799891678945,0.0328196209458314,0.0853306439347962,1.00126327881207,4396.43971902087,3140.29545548144
"4","alpha[1,2,1,1]",0.0339192877919581,0.0338597740396209,0.0148153173312554,0.0150187912762728,0.00898417065337577,0.0584833348497572,1.00179621665193,3463.70811932306,2247.99454458466
"5","alpha[2,2,1,1]",0.0337456617199426,0.0338966175581613,0.0132073759510238,0.0134715699448338,0.011609480266635,0.0554917811350504,1.00033941416719,3332.28905900519,2152.01874937219
"6","alpha[3,2,1,1]",0.0159304700968118,0.0142250929170907,0.0108250155604689,0.0111219730071442,0.00156334132884027,0.0354970381473222,1.0001277045527,3472.86403248398,2814.35029450529
"7","alpha[1,3,1,1]",0.284467145333482,0.284413733294533,0.0345923309462469,0.0348537612110046,0.227531869608496,0.340418401755874,1.00080670247513,6112.66188279453,4738.90419454395
"8","alpha[2,3,1,1]",0.126796933069414,0.126932651563308,0.0230576162030832,0.0228702995145938,0.0891933479624225,0.164288487748813,1.00075569170905,5747.26158852678,4261.97043599039
"9","alpha[3,3,1,1]",0.0949667659227503,0.0951151331663429,0.0280691209387559,0.0279462996709852,0.0489519693095365,0.141170679215821,1.0004937761477,5280.98097912805,3360.82990409017
"10","alpha[1,4,1,1]",0.0477793871099978,0.0462606722488215,0.0259907509477394,0.0276848324887418,0.00788556300596711,0.0937530287636848,1.00013050936094,3585.40705070563,2460.61398520035
"11","alpha[2,4,1,1]",0.0333457284335327,0.0328824326309555,0.0158313317492794,0.0161888799043503,0.00765633061068202,0.0607305903877722,1.00271981938289,3285.51164258981,2351.42675140497
"12","alpha[3,4,1,1]",0.0542552988233639,0.0467640072939835,0.0389985689657665,0.0391137195093008,0.00497535411740294,0.12801842028764,1.00047469477716,4085.88869455954,2156.49811407618
"13","alpha[1,5,1,1]",0.214519441512942,0.214141783143522,0.0379284901126179,0.0371882754038091,0.151632413704825,0.277670461750075,1.0010389928838,5790.11795954843,4770.0038492038
"14","alpha[2,5,1,1]",0.382690453935838,0.382041161680589,0.0315773818694046,0.0312304253317085,0.331736456737986,0.435041711679865,1.00076540672863,6207.20200089426,4789.4148938879
"15","alpha[3,5,1,1]",0.269209762983036,0.269353541909624,0.0325263747162003,0.0325624769269396,0.215277158279174,0.322396353764701,1.00088211130094,5660.82969188543,4430.2482835485
"16","alpha[1,6,1,1]",0.120089812161545,0.119250279252835,0.0461971545807496,0.0471486649838398,0.0440406896098139,0.195801767321847,1.00121352721008,3979.807017085,2201.89774015292
"17","alpha[2,6,1,1]",0.188929786476078,0.188723403876353,0.0359237969545562,0.0361894998081581,0.13062184398972,0.247865290671262,0.999833292455436,5422.63672850006,4083.16373378051
"18","alpha[3,6,1,1]",0.218435697269563,0.217836834022747,0.0601144014687986,0.0586905912877286,0.120401800379118,0.316983175495059,1.0006749567297,4852.00420183098,3334.28404395562
"19","alpha[1,7,1,1]",0.165056041600788,0.164992525350309,0.0190283570602053,0.0194098651567088,0.133730570768989,0.196051844713452,0.999882286563144,5147.55342798409,3975.53357782031
"20","alpha[2,7,1,1]",0.141784174361969,0.141695248576293,0.0122347977600208,0.0120212849291905,0.121636432495625,0.16220580101237,1.00103865052436,5864.6246710831,4546.74369688985
"21","alpha[3,7,1,1]",0.154100990108661,0.154109683939042,0.0151700610619374,0.0152998447636408,0.12917468356786,0.179114755531827,0.99976152543484,5544.7549238468,4375.88494312894
"22","alpha[1,8,1,1]",0.142320353640988,0.142316747414535,0.0385957978462036,0.0380438281428821,0.0789333999929282,0.205656754620509,1.00046568878704,4373.70780608716,2804.09154399396
"23","alpha[2,8,1,1]",0.118809061874165,0.117933379234215,0.0328405210963098,0.0330661504108931,0.0649683069282884,0.173788994665201,1.00044488688745,5190.51332350421,3913.14648972927
"24","alpha[3,8,1,1]",0.123828262728169,0.123565303358224,0.0362734447247424,0.0358434433143864,0.0642332381694316,0.183468481348615,1.00004368353373,4603.81477415334,3316.77865005607
"25","alpha[1,9,1,1]",0.0549615987560749,0.0549787296333318,0.0143070905703977,0.0142802373316916,0.0317163359768765,0.0785766223686506,1.00039000256978,5782.62910509347,4402.56001569953
