"","variable","mean","median","sd","mad","q5","q95","rhat","ess_bulk","ess_tail"
"1","lapse[1,1]",0.0541148457504574,0.054040924436502,0.0160499085461817,0.0156949650733402,0.0279011671660072,0.0806113183891632,1.00070194259126,5316.3761529947,3040.76042112799
"2","lapse[2,1]",0.055778080729949,0.0558841451264749,0.0243891648701539,0.0254325630058394,0.0161863963491647,0.0960693997693212,1.00028494548426,3935.29355750099,3031.13843704641
"3","lapse[3,1]",0.0194016261431616,0.0152264311665396,0.0164469279351593,0.0147654421340836,0.00118385116275366,0.0515920685267502,1.00067478569467,4247.6834274379,2682.48972418603
"4","lapse[1,2]",0.108980420599965,0.107105415582623,0.0556924989316863,0.058505993070683,0.0209391877259805,0.205386786748191,1.0009449220134,3819.82177261571,2693.36453122668
"5","lapse[2,2]",0.503750260530532,0.503878836591677,0.0509612587671163,0.0503780757346854,0.421039473076742,0.587999350455023,1.00103845137871,5839.0659529469,4210.24806255657
"6","lapse[3,2]",0.0490926405895172,0.0447358893886843,0.0319553083694594,0.0337980772339113,0.00528409949022438,0.108335409473267,1.00112064432999,4072.24746924161,3452.57219377864
"7","lapse[1,3]",0.451353221881789,0.451007246603071,0.0513349794610343,0.050789117636489,0.368214447314745,0.538927879759782,1.00040937998593,5660.31613171417,3742.87559285361
"8","lapse[2,3]",0.251501609007389,0.252138065785443,0.0458256638365731,0.0460061146402143,0.176292987707602,0.326004011404597,1.00051479743186,4456.00861563787,4056.52586830096
"9","lapse[3,3]",0.185651765203697,0.183277886203424,0.0743730495689225,0.0749276518310142,0.0632310135711511,0.310995406228469,1.00088144233118,4546.21330661305,2613.89509018428
"10","lapse[1,4]",0.17618291685338,0.175677352396727,0.0510033025374889,0.0504784808477622,0.0915739795311466,0.261104864414532,1.00086980855467,5079.51496400939,3975.99783645744
"11","lapse[2,4]",0.138045466553963,0.137136683511414,0.0387997120290563,0.038812233716061,0.0755762672178409,0.202184088508726,0.999890296913646,5379.59024722707,3730.38866651122
"12","lapse[3,4]",0.128411805352892,0.129032908040811,0.0428227427358197,0.0430817413574036,0.0576768233021972,0.199167428732534,1.00029036302774,4846.24811997141,4223.64842045235
"13","lapse[1,5]",0.228331682813867,0.22822531070982,0.0515160291252185,0.0513604285156049,0.146365327931378,0.313873384909114,1.00015851406189,5136.90074474028,3871.52428753487
"14","lapse[2,5]",0.139799319808841,0.139812161863588,0.0242317702105094,0.0236936318842108,0.100442211265501,0.179509633481081,1.00047231498662,6227.0445083598,4146.01298193534
"15","lapse[3,5]",0.130424076109519,0.130318314540319,0.0408505896263449,0.0409663661605833,0.0641497577154867,0.198359173554002,1.00042371603841,4670.50578249086,2942.66169136534
"16","lapse[1,6]",0.347063539631365,0.346911033262149,0.0477456669788946,0.04721189267763,0.270198364900388,0.424710223219698,1.00121360679744,5551.71838337743,4373.84996062047
"17","lapse[2,6]",0.139030256225599,0.138526693352971,0.0381265476991801,0.037075615999257,0.076947955733085,0.200670282630154,1.00448867203148,4157.57015839694,2221.94597090309
"18","lapse[3,6]",0.123413068424082,0.122513444646335,0.0462078675594314,0.0472448282440618,0.0478978179186721,0.199987583820903,1.00059662118843,4281.13918927527,2503.05740594663
